timestamp,market_slug,outcome,best_bid,best_ask,mid,spread
1767715206.773825,eth-updown-15m-1767715200,UP,0.52,0.51,0.515,-0.010000000000000009
1767715207.099664,eth-updown-15m-1767715200,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767715208.435012,eth-updown-15m-1767715200,UP,0.51,0.5,0.505,-0.010000000000000009
1767715208.435437,eth-updown-15m-1767715200,DOWN,0.5,0.49,0.495,-0.010000000000000009
1767715209.771051,eth-updown-15m-1767715200,UP,0.53,0.51,0.52,-0.020000000000000018
1767715209.771164,eth-updown-15m-1767715200,DOWN,0.49,0.47,0.48,-0.020000000000000018
1767715211.128618,eth-updown-15m-1767715200,UP,0.51,0.5,0.505,-0.010000000000000009
1767715211.128865,eth-updown-15m-1767715200,DOWN,0.5,0.49,0.495,-0.010000000000000009
1767715212.470979,eth-updown-15m-1767715200,UP,0.51,0.5,0.505,-0.010000000000000009
1767715212.471154,eth-updown-15m-1767715200,DOWN,0.5,0.49,0.495,-0.010000000000000009
1767715213.8034859,eth-updown-15m-1767715200,UP,0.52,0.51,0.515,-0.010000000000000009
1767715213.8038201,eth-updown-15m-1767715200,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767715215.139002,eth-updown-15m-1767715200,UP,0.52,0.51,0.515,-0.010000000000000009
1767715215.139349,eth-updown-15m-1767715200,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767715216.47612,eth-updown-15m-1767715200,UP,0.52,0.51,0.515,-0.010000000000000009
1767715216.476233,eth-updown-15m-1767715200,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767715217.8201091,eth-updown-15m-1767715200,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767715217.820268,eth-updown-15m-1767715200,UP,0.52,0.51,0.515,-0.010000000000000009
1767715219.3168662,eth-updown-15m-1767715200,DOWN,0.48,0.47,0.475,-0.010000000000000009
1767715219.317169,eth-updown-15m-1767715200,UP,0.53,0.52,0.525,-0.010000000000000009
1767715220.6528761,eth-updown-15m-1767715200,DOWN,0.48,0.47,0.475,-0.010000000000000009
1767715220.653027,eth-updown-15m-1767715200,UP,0.53,0.52,0.525,-0.010000000000000009
1767715221.9800918,eth-updown-15m-1767715200,DOWN,0.48,0.47,0.475,-0.010000000000000009
1767715221.988561,eth-updown-15m-1767715200,UP,0.53,0.52,0.525,-0.010000000000000009
1767715223.348393,eth-updown-15m-1767715200,DOWN,0.5,0.49,0.495,-0.010000000000000009
1767715223.3486001,eth-updown-15m-1767715200,UP,0.51,0.5,0.505,-0.010000000000000009
